task_id,selector,policy,depth,delegation,root_model,sub_model,correct,latency_s,root_steps,subcalls,repl_blocks,retrieval_calls,surfaced_chars,repl_output_chars,subcall_input_chars,subcall_output_chars,model_input_chars,rlm_queries,rlm_cache_hits,rlm_cache_misses,retrieval_cache_hits,retrieval_cache_misses
t6,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,5.98,1,1,1,0,177,97,518,97,3270,0,0,0,0,0
t7,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,9.78,1,1,1,0,164,82,523,82,3261,0,0,0,0,0
t8,stuff,expand,2,llm,gpt-5.2,gpt-5.2,1,5.69,1,1,1,0,226,146,532,146,3263,0,0,0,0,0
t1,stuff,iterative,1,none,gpt-5.2,gpt-5.2,0,2.50,1,0,1,0,288,200,0,0,2463,0,0,0,0,0
t2,stuff,iterative,1,none,gpt-5.2,gpt-5.2,0,2.52,1,0,1,0,288,200,0,0,2444,0,0,0,0,0
t3,stuff,iterative,1,none,gpt-5.2,gpt-5.2,1,2.43,1,0,1,0,102,22,0,0,2427,0,0,0,0,0
t4,stuff,iterative,1,none,gpt-5.2,gpt-5.2,1,5.63,3,0,2,0,821,319,0,0,10657,0,0,0,0,0
t5,stuff,iterative,1,none,gpt-5.2,gpt-5.2,0,4.63,1,0,1,0,288,200,0,0,2436,0,0,0,0,0
t6,stuff,iterative,1,none,gpt-5.2,gpt-5.2,1,2.76,1,0,1,0,83,3,0,0,2435,0,0,0,0,0
t7,stuff,iterative,1,none,gpt-5.2,gpt-5.2,1,2.20,1,0,1,0,95,15,0,0,2434,0,0,0,0,0
t8,stuff,iterative,1,none,gpt-5.2,gpt-5.2,0,3.71,1,0,1,0,288,200,0,0,2441,0,0,0,0,0
t1,stuff,iterative,1,llm,gpt-5.2,gpt-5.2,0,4.94,1,1,1,0,142,62,517,62,2877,0,0,0,0,0
t2,stuff,iterative,1,llm,gpt-5.2,gpt-5.2,0,4.42,1,1,1,0,147,67,535,67,2858,0,0,0,0,0
t3,stuff,iterative,1,llm,gpt-5.2,gpt-5.2,1,4.85,1,1,1,0,124,44,515,44,2841,0,0,0,0,0
t4,stuff,iterative,1,llm,gpt-5.2,gpt-5.2,1,4.48,1,1,1,0,119,39,505,39,2840,0,0,0,0,0
t5,stuff,iterative,1,llm,gpt-5.2,gpt-5.2,0,4.64,1,1,1,0,108,28,527,28,2850,0,0,0,0,0
t6,stuff,iterative,1,llm,gpt-5.2,gpt-5.2,0,5.73,1,1,1,0,101,21,518,21,2849,0,0,0,0,0
t7,stuff,iterative,1,llm,gpt-5.2,gpt-5.2,0,4.26,1,1,1,0,146,66,523,66,2848,0,0,0,0,0
t8,stuff,iterative,1,llm,gpt-5.2,gpt-5.2,0,3.74,1,1,1,0,133,53,532,53,2855,0,0,0,0,0
t1,stuff,iterative,2,rlm,gpt-5.2,gpt-5.2,1,10.05,3,0,3,0,2202,951,0,0,9545,1,0,1,0,0
t2,stuff,iterative,2,rlm,gpt-5.2,gpt-5.2,1,8.46,3,0,3,0,1770,717,0,0,8906,1,0,1,0,0
t3,stuff,iterative,2,rlm,gpt-5.2,gpt-5.2,1,8.27,3,0,3,0,2150,924,0,0,9142,1,0,1,0,0
t4,stuff,iterative,2,rlm,gpt-5.2,gpt-5.2,1,7.08,3,0,3,0,2130,897,0,0,8850,1,0,1,0,0
t5,stuff,iterative,2,rlm,gpt-5.2,gpt-5.2,1,12.54,3,0,3,0,2112,886,0,0,8898,1,0,1,0,0
t6,stuff,iterative,2,rlm,gpt-5.2,gpt-5.2,0,11.67,3,0,3,0,2149,906,0,0,8954,1,0,1,0,0
t7,stuff,iterative,2,rlm,gpt-5.2,gpt-5.2,1,8.76,3,0,3,0,2184,934,0,0,9134,1,0,1,0,0
t8,stuff,iterative,2,rlm,gpt-5.2,gpt-5.2,1,9.63,3,0,3,0,2132,896,0,0,8903,1,0,1,0,0
t1,stuff,iterative,2,llm,gpt-5.2,gpt-5.2,1,6.78,1,1,1,0,164,84,517,84,3301,0,0,0,0,0
